Problem,Run,IGDp_first,IGDp_final,IGDrelCheck
WFG4,2,17.3666658067613,11.2301609980041,0
WFG4,3,16.5586892601974,14.607339700485,0
WFG4,4,18.0009664419393,12.5370994086735,0
WFG4,5,17.597560315176,13.2244788679386,0
WFG4,6,17.7386250904147,13.339228510981,0
WFG4,7,16.9069803614256,11.2210936383403,0
WFG4,8,16.7245089628105,14.4258243004962,0
WFG4,9,16.3091169192565,9.31012412429816,0
WFG4,10,17.102521153673,11.6990362502259,0
WFG4,11,16.9106993956067,12.15358308165,0
WFG4,12,17.1197998958937,10.0123712485555,0
WFG4,13,17.6517386888236,13.7993813314018,0
WFG4,14,17.4739939629297,10.8379014736546,0
WFG4,15,17.449904908851,11.0390664966904,0
WFG4,16,16.6245011805829,11.3669179896429,0
WFG4,17,16.9494686783512,11.3461254400685,0
WFG4,18,16.8447482190728,12.2704419355833,0
WFG4,19,17.0180139924951,10.4412267067519,0
WFG4,20,16.2789769601194,10.7818556575729,0
WFG5,1,14.2846076651604,11.2789392506468,0
WFG5,2,14.1121936543744,10.9223625930788,0
WFG5,3,13.9700328598425,9.65436890631267,0
WFG5,4,15.5743867283963,13.3993907446799,0
WFG5,5,15.2694490126603,12.0276628496206,0
WFG5,6,13.5447914478181,9.78941357215385,0
WFG5,7,14.6897713732167,10.347238949888,0
WFG5,8,16.1549199379432,12.5161340779229,0
WFG5,9,13.562999290987,11.7147305304546,0
WFG5,10,14.184777047384,10.9474228230754,0
WFG5,11,14.8813290768379,12.3474661254303,0
WFG5,12,14.8791777689192,9.92996630070878,0
WFG5,13,12.5369036717781,10.9317468250857,0
WFG5,14,13.5175376779923,11.0199821166226,0
WFG5,15,14.0148433277682,11.877768414456,0
WFG5,16,14.2004602584121,10.7434418384033,0
WFG5,17,14.9911563759687,10.9206635905243,0
WFG5,18,14.3194228025517,11.2461701765376,0
WFG5,19,14.7527405654677,12.0994688529846,0
WFG5,20,14.1197382044817,12.0209641214089,0
WFG6,1,14.0872119155677,8.92523052317736,0
WFG6,2,15.1938291771344,9.52789823725768,0
WFG6,3,15.5824284192046,8.40504972510507,0
WFG6,4,14.5709464879964,7.11952306663418,0
WFG6,5,14.6180693413734,7.81961019851216,0
WFG6,6,15.4574405669392,7.98200113444976,0
WFG6,7,13.7460892927954,9.63314805173721,0
WFG6,8,16.0020770280878,7.13618525185151,0
WFG6,9,16.0849828882129,8.63179773973777,0
WFG6,10,12.4408202960696,9.0813201474421,0
WFG6,11,13.9463915738089,8.32257072002315,0
WFG6,12,15.2340442511183,7.50999761472996,0
WFG6,13,14.5414685822439,8.33622967060103,0
WFG6,14,14.6023737283073,8.03973810901752,0
WFG6,15,14.5927541936798,7.24769767100081,0
WFG6,16,15.4258732335895,8.67007657890913,0
WFG6,17,14.2821451477645,8.29036822656104,0
WFG6,18,14.430797831185,7.6260722467938,0
WFG6,19,14.3487514712838,5.80000692766714,0
WFG6,20,15.5773858876342,7.72183982965009,0
WFG7,1,14.5967532660423,10.3530500673583,0
WFG7,2,12.3473817454609,8.43312734194191,0
WFG7,3,15.2726248600528,10.2841365532115,0
WFG7,4,14.3076457613478,9.3673993905021,0
WFG7,5,14.4918526110428,9.20072596252801,0
WFG7,6,16.166600757312,9.44188299232412,0
WFG7,7,14.016469249359,10.0932249214314,0
WFG7,8,15.0901142889788,10.573067119679,0
WFG7,9,15.5354754370483,9.39845696053271,0
WFG7,10,16.0455446413318,10.4309839710947,0
WFG7,11,16.486411001747,10.224427288423,0
WFG7,12,16.8053217615835,9.99962753720548,0
WFG7,13,16.0775716664738,9.54823963996083,0
WFG7,14,13.361041117615,9.11565041447112,0
WFG7,15,16.4412247642323,9.45869211638727,0
WFG7,16,15.1980219667688,10.0938893227113,0
WFG7,17,16.3700470743009,9.59038538401616,0
WFG7,18,16.29764793318,9.21514587988447,0
WFG7,19,16.5939701255137,9.25169802556157,0
WFG7,20,14.2722889400848,9.68140220788222,0
WFG8,1,14.6065452281134,10.850397975102,0
WFG8,2,14.0022596552705,8.15653569564077,0
WFG8,3,14.7011724874671,9.26150527287898,0
WFG8,4,15.2378612733721,10.0686925973536,0
WFG8,5,15.554257165864,10.3056864892179,0
WFG8,6,15.2680829501051,8.54753510229931,0
WFG8,7,15.0393321177031,9.56250206492395,0
WFG8,8,14.4057585953472,10.5358220861099,0
WFG8,9,14.0532469380504,8.27944108641571,0
WFG8,10,14.6837759450826,10.205791976381,0
WFG8,11,14.8312194542783,9.67952714187459,0
WFG8,12,14.3710657053747,10.4492479450451,0
WFG8,13,15.3911753122236,10.323922339522,0
WFG8,14,16.0541119139715,10.6400185374721,0
WFG8,15,14.3347915566084,10.6107362672793,0
