problem,M,run,stage,gen,ratio,mean_conf,acc_conv,acc_hyb,auc_conv,auc_hyb,auc_pair_conv,auc_pair_hyb,acc_pair_conv,acc_pair_hyb,n_pairs
DTLZ4,10,4,5,20,1,0.529378762559674,0.7,0.68,0.708571428571429,0.710018382352941,0.660395616999488,0.625405795378538,0.53030303030303,0.508686868686869,9900
DTLZ4,10,5,1,0,0.333333333333333,0.553918927916839,0.6,0.54,0.744583333333333,0.738727858293076,0.591147009966777,0.56777505701074,0.434343434343434,0.391313131313131,9900
DTLZ4,10,5,2,2,0.5,0.457981792549095,0.62,0.54,0.415110356536503,0.36231884057971,0.438460895646179,0.426152478821339,0.451111111111111,0.391313131313131,9900
DTLZ4,10,5,3,5,0.666666666666667,0.434418256195477,0.82,0.68,0.399051490514905,0.357536764705882,0.42555160507456,0.422049892092722,0.685454545454545,0.508686868686869,9900
DTLZ4,10,5,4,10,0.833333333333333,0.539982490781997,0.78,0.72,0.693473193473193,0.680555555555556,0.603827418025556,0.588882673299368,0.628888888888889,0.553131313131313,9900
DTLZ4,10,5,5,20,1,0.519525882458751,0.72,0.6,0.787698412698413,0.747083333333333,0.686954383883908,0.634547840531561,0.553131313131313,0.434343434343434,9900
DTLZ4,20,1,1,0,0.333333333333333,0.531248952727217,0.62,0.54,0.783955857385399,0.781400966183575,0.632477735101065,0.596988167433464,0.451111111111111,0.391313131313131,9900
DTLZ4,20,1,2,2,0.5,0.497643197412328,0.82,0.68,0.54810298102981,0.612132352941177,0.504303412083626,0.567067280057272,0.685454545454545,0.508686868686869,9900
DTLZ4,20,1,3,5,0.666666666666667,0.481307477035212,0.84,0.64,0.466517857142857,0.580295138888889,0.471442326818438,0.550605058883527,0.715555555555556,0.469090909090909,9900
DTLZ4,20,1,4,10,0.833333333333333,0.507356642441251,0.72,0.72,0.58234126984127,0.608630952380952,0.550008949128005,0.570945780832883,0.553131313131313,0.553131313131313,9900
DTLZ4,20,1,5,20,1,0.449343667994137,0.62,0.52,0.717317487266554,0.662660256410256,0.621488724112054,0.569831498768637,0.451111111111111,0.379393939393939,9900
DTLZ4,20,2,1,0,0.333333333333333,0.538930096483164,0.64,0.56,0.7890625,0.734172077922078,0.635945204168453,0.586836670791895,0.469090909090909,0.404444444444444,9900
DTLZ4,20,2,2,2,0.5,0.494318691564736,0.72,0.6,0.474702380952381,0.60875,0.475369258853693,0.559359302325581,0.553131313131313,0.434343434343434,9900
DTLZ4,20,2,3,5,0.666666666666667,0.485946471612535,0.7,0.58,0.475238095238095,0.527504105090312,0.487354101382488,0.520231233256892,0.53030303030303,0.418787878787879,9900
DTLZ4,20,2,4,10,0.833333333333333,0.493344738252726,0.72,0.68,0.534722222222222,0.478400735294118,0.533038793644336,0.502256777517662,0.553131313131313,0.508686868686869,9900
DTLZ4,20,2,5,20,1,0.461582959371434,0.62,0.6,0.641341256366723,0.632916666666667,0.571951229763472,0.570258305647841,0.451111111111111,0.434343434343434,9900
DTLZ4,20,3,1,0,0.333333333333333,0.52012678820795,0.62,0.54,0.783955857385399,0.772141706924316,0.636145408790187,0.596683516155513,0.451111111111111,0.391313131313131,9900
DTLZ4,20,3,2,2,0.5,0.519114294710058,0.74,0.7,0.643451143451143,0.67047619047619,0.562427118011419,0.610705335381464,0.577171717171717,0.53030303030303,9900
DTLZ4,20,3,3,5,0.666666666666667,0.487180611458011,0.8,0.68,0.550625,0.608915441176471,0.545682895927602,0.578984763649095,0.656565656565657,0.508686868686869,9900
DTLZ4,20,3,4,10,0.833333333333333,0.492859605125958,0.8,0.68,0.58875,0.563878676470588,0.573758371040724,0.547192124597634,0.656565656565657,0.508686868686869,9900
