Problem,M,Run,Seed,Stage,anchor_margin,score_hybrid,score_v,Hybrid - Direction,Hybrid - Margin
DTLZ2,20,18,12018,"S4_(0.75,1.00]",0.592380952380953,0.628571428571429,0.664761904761905,-0.036190476190475995,0.036190476190475995
DTLZ2,20,19,12019,"S1_[0,0.25]",0.016,0.064,0.048,0.016,0.048
DTLZ2,20,19,12019,"S2_(0.25,0.50]",0.0914285714285714,0.146666666666667,0.148571428571429,-0.0019047619047619924,0.0552380952380956
DTLZ2,20,19,12019,"S3_(0.50,0.75]",0.172,0.364,0.406,-0.04200000000000004,0.192
DTLZ2,20,19,12019,"S4_(0.75,1.00]",0.603809523809524,0.822857142857143,0.84,-0.017142857142857015,0.21904761904761894
DTLZ2,20,20,12020,"S1_[0,0.25]",0.072,0.176,0.168,0.00799999999999998,0.104
DTLZ2,20,20,12020,"S2_(0.25,0.50]",0.127619047619048,0.177142857142857,0.137142857142857,0.03999999999999998,0.049523809523809
DTLZ2,20,20,12020,"S3_(0.50,0.75]",0.25,0.33,0.31,0.020000000000000018,0.08000000000000002
DTLZ2,20,20,12020,"S4_(0.75,1.00]",0.691428571428571,0.782857142857143,0.767619047619048,0.01523809523809505,0.09142857142857208
DTLZ2,20,21,12021,"S1_[0,0.25]",0.0,0.0,0.0,0.0,0.0
DTLZ2,20,21,12021,"S2_(0.25,0.50]",0.0857142857142857,0.140952380952381,0.15047619047619,-0.009523809523809018,0.055238095238095294
DTLZ2,20,21,12021,"S3_(0.50,0.75]",0.258,0.39,0.382,0.008000000000000007,0.132
DTLZ2,20,21,12021,"S4_(0.75,1.00]",0.525714285714286,0.563809523809524,0.577142857142857,-0.013333333333332975,0.03809523809523796
DTLZ2,20,22,12022,"S1_[0,0.25]",0.104,0.152,0.152,0.0,0.048
DTLZ2,20,22,12022,"S2_(0.25,0.50]",0.182857142857143,0.220952380952381,0.217142857142857,0.0038095238095240125,0.038095238095238015
DTLZ2,20,22,12022,"S3_(0.50,0.75]",0.292,0.25,0.284,-0.033999999999999975,-0.04199999999999998
DTLZ2,20,22,12022,"S4_(0.75,1.00]",0.647619047619048,0.624761904761905,0.617142857142857,0.0076190476190479695,-0.02285714285714302
