M,Problem,Algorithm,Run,Snapshots,FirstFE,LastFE,FinalIGD
15,WFG8,PIEA,13,30,100,300,13.49586714
15,WFG8,PIEA,14,30,100,300,14.21716269
15,WFG8,PIEA,15,30,100,300,15.4908403
15,WFG8,PIEA,16,30,100,300,12.59155183
15,WFG8,PIEA,17,30,100,300,13.14340861
15,WFG8,PIEA,18,30,100,300,13.26498127
15,WFG8,PIEA,19,30,100,300,13.07693011
15,WFG8,PIEA,2,30,100,300,13.54460786
15,WFG8,PIEA,20,30,100,300,13.57299031
15,WFG8,PIEA,21,30,100,300,12.94830929
15,WFG8,PIEA,22,30,100,300,13.10122735
15,WFG8,PIEA,23,30,100,300,13.58144224
15,WFG8,PIEA,24,30,100,300,14.58174212
15,WFG8,PIEA,25,30,100,300,12.836288
15,WFG8,PIEA,26,30,100,300,13.40833072
15,WFG8,PIEA,27,30,100,300,12.69043105
15,WFG8,PIEA,28,30,100,300,12.21785073
15,WFG8,PIEA,29,30,100,300,13.50305727
15,WFG8,PIEA,3,30,100,300,12.93478152
15,WFG8,PIEA,30,30,100,300,13.52747823
15,WFG8,PIEA,4,30,100,300,11.92257222
15,WFG8,PIEA,5,30,100,300,13.68357338
15,WFG8,PIEA,6,30,100,300,13.22733103
15,WFG8,PIEA,7,30,100,300,12.76857153
15,WFG8,PIEA,8,30,100,300,14.46963608
15,WFG8,PIEA,9,30,100,300,11.44924184
15,WFG1,CSEA,1,21,109,309,4.261107048
15,WFG1,CSEA,10,19,109,308,4.233718599
15,WFG1,CSEA,11,18,109,301,4.257130321
15,WFG1,CSEA,12,18,109,300,4.178969344
15,WFG1,CSEA,13,18,109,300,4.087880667
15,WFG1,CSEA,14,19,109,301,4.054878562
15,WFG1,CSEA,15,20,109,309,4.069564189
15,WFG1,CSEA,16,18,109,301,4.12907028
15,WFG1,CSEA,17,19,109,301,4.215021788
15,WFG1,CSEA,18,19,109,302,4.281326368
15,WFG1,CSEA,19,20,109,303,4.230387123
15,WFG1,CSEA,2,19,109,310,4.287591525
15,WFG1,CSEA,20,21,109,308,4.188531898
15,WFG1,CSEA,21,19,109,308,4.279835225
15,WFG1,CSEA,22,21,109,304,4.256193371
15,WFG1,CSEA,23,18,109,300,4.202457372
15,WFG1,CSEA,24,19,109,307,4.258147292
15,WFG1,CSEA,25,19,109,301,4.203211481
15,WFG1,CSEA,26,19,109,309,4.254495453
15,WFG1,CSEA,27,18,109,305,4.249062554
15,WFG1,CSEA,28,21,109,300,4.035834671
15,WFG1,CSEA,29,21,109,305,4.07058339
15,WFG1,CSEA,3,19,109,304,4.147992868
15,WFG1,CSEA,30,20,109,308,4.136099345
15,WFG1,CSEA,4,18,109,302,4.262793555
15,WFG1,CSEA,5,19,109,304,4.273186645
15,WFG1,CSEA,6,18,109,300,4.109608265
15,WFG1,CSEA,7,18,109,303,4.213886044
15,WFG1,CSEA,8,19,109,306,4.172643933
15,WFG1,CSEA,9,18,109,300,4.242844027
15,WFG6,CSEA,1,19,109,302,15.91513102
15,WFG6,CSEA,10,18,109,300,16.05129168
15,WFG6,CSEA,11,19,109,310,16.3686241
15,WFG6,CSEA,12,19,109,310,16.14841902
15,WFG6,CSEA,13,19,109,311,16.24166851
15,WFG6,CSEA,14,18,109,302,16.08606422
15,WFG6,CSEA,15,19,109,304,16.78983122
15,WFG6,CSEA,16,19,109,300,16.30735087
15,WFG6,CSEA,17,20,109,310,15.86065053
15,WFG6,CSEA,18,19,109,306,14.34951833
15,WFG6,CSEA,19,19,109,310,15.24354461
15,WFG6,CSEA,2,18,109,302,15.80586849
15,WFG6,CSEA,20,19,109,305,15.53770873
15,WFG6,CSEA,21,18,109,302,14.85989625
15,WFG6,CSEA,22,19,109,304,14.78442714
15,WFG6,CSEA,23,19,109,302,14.96594966
15,WFG6,CSEA,24,20,109,308,15.10955792
15,WFG6,CSEA,25,19,109,301,16.44051947
15,WFG6,CSEA,26,20,109,304,16.15618622
15,WFG6,CSEA,27,20,109,305,15.94938856
15,WFG6,CSEA,28,20,109,309,16.28613706
15,WFG6,CSEA,29,20,109,309,15.20799332
15,WFG6,CSEA,3,20,109,305,14.78940527
15,WFG6,CSEA,30,19,109,306,15.90012411
15,WFG6,CSEA,4,19,109,303,16.14684901
15,WFG6,CSEA,5,19,109,310,15.52121067
15,WFG6,CSEA,6,19,109,308,15.62334817
15,WFG6,CSEA,7,20,109,307,15.04893171
15,WFG6,CSEA,8,19,109,304,14.51139206
15,WFG6,CSEA,9,20,109,310,16.7684546
15,WFG7,CSEA,1,20,109,311,14.18668691
15,WFG7,CSEA,10,19,109,308,15.98008647
15,WFG7,CSEA,11,20,109,307,15.5268143
15,WFG7,CSEA,12,19,109,300,16.35215264
15,WFG7,CSEA,13,19,109,305,14.80742496
15,WFG7,CSEA,14,19,109,300,16.50543082
15,WFG7,CSEA,15,21,109,309,16.44721286
15,WFG7,CSEA,16,20,109,308,17.37943222
15,WFG7,CSEA,17,19,109,304,17.21150247
15,WFG7,CSEA,18,20,109,307,15.84883641
