algorithm,problem,FE_checkpoint,n,mean_IGD,sd_IGD
REMO,DTLZ4,250,30,1.231641839788631,0.1119033560899234
REMO,DTLZ4,300,30,1.1453529627575265,0.09971086468708933
REMO,DTLZ5,120,30,1.0732988213340926,0.09776139555237497
REMO,DTLZ5,150,30,0.958653893856845,0.11907975052484973
REMO,DTLZ5,200,30,0.8266509342683394,0.1306546930289121
REMO,DTLZ5,250,30,0.7278830103051184,0.13984033945127455
REMO,DTLZ5,300,30,0.6613241209203854,0.1346099885489505
REMO,DTLZ7,120,30,30.436761426667204,2.1072827081308994
REMO,DTLZ7,150,30,28.857884409374627,2.8822496651586715
REMO,DTLZ7,200,30,25.601095130563504,2.99856143964404
REMO,DTLZ7,250,30,22.827292520149193,2.8490045379026983
REMO,DTLZ7,300,30,21.096139725567244,2.530443115456326
PIEA,DTLZ2,120,30,1.2847712919695389,0.08026337998442992
PIEA,DTLZ2,150,30,1.1728735319347774,0.06324880310140685
PIEA,DTLZ2,200,30,1.0832452250265634,0.056997554611228116
PIEA,DTLZ2,250,30,1.0183506015651853,0.05593821313108302
PIEA,DTLZ2,300,30,0.979649905916819,0.0561049846097074
PIEA,DTLZ4,120,30,1.5036445850580955,0.08028676883311388
PIEA,DTLZ4,150,30,1.371902674929528,0.07139752158853044
PIEA,DTLZ4,200,30,1.2732232581771574,0.055745765269601406
PIEA,DTLZ4,250,30,1.2463275523810085,0.056362063611661364
