algorithm,problem,n,mean,sd,median,min,max,FE_min,FE_max,overshoot_runs,metadata_runs,run_ids
CSEA,DTLZ7,30,27.354559593319134,3.0689129082761246,27.276527864410212,15.976521112193076,31.233240034251867,300.0,311.0,24,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
PC-SAEA,DTLZ2,30,1.5128017236679365,0.05884345272214946,1.5178432752679099,1.3807317788898539,1.637715754321888,300.0,300.0,0,12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
PC-SAEA,DTLZ4,30,1.6760983717464526,0.07624034576298724,1.6776856235086157,1.5040454336028293,1.8210781130282572,300.0,300.0,0,12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
PC-SAEA,DTLZ5,30,0.9749183811980056,0.0849041117227278,0.9775856796267467,0.7853255072230114,1.1168663122186464,300.0,300.0,0,12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
PC-SAEA,DTLZ7,30,28.79468843247556,2.032501483245316,28.975243703328758,24.627010937814678,32.73100903341111,300.0,300.0,0,12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
K-RVEA,DTLZ2,30,1.4255569813061766,0.10660459610453218,1.4376254041631409,1.1932426147055268,1.6337428452853762,300.0,300.0,0,12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
K-RVEA,DTLZ4,30,1.6232109003929958,0.11005958803892282,1.6221807990538513,1.4040310218694247,1.8624199581742893,300.0,300.0,0,12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
K-RVEA,DTLZ5,30,0.8966370810843991,0.09337957455716042,0.904103016308172,0.7064163399569696,1.013638485610001,300.0,300.0,0,12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
K-RVEA,DTLZ7,30,1.6495493903462553,0.23080798358476512,1.5709902236348978,1.4162768093377522,2.3215829188244372,300.0,300.0,0,12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
MCEA/D,DTLZ2,30,1.0988460199824845,0.054493397983080054,1.0976331506738288,0.9892031936867866,1.2067523738237211,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
MCEA/D,DTLZ4,30,1.2517332665278942,0.016925027410780634,1.2559313192988268,1.2149684111693528,1.2800981477872042,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
MCEA/D,DTLZ5,30,0.3590835711610081,0.05915641997350407,0.34927552683972785,0.2437523898113855,0.46262517679177884,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
MCEA/D,DTLZ7,30,20.930999754164123,5.338803897166392,20.59380755938168,10.67223217022541,31.1350785109848,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
