Problem,M,Stage,Truth,Metric,ViewA,ViewB,AvailablePairedRuns,ValidPairs,MeanA,MeanB,MeanDelta,MedianDelta,MeanRelativeImprovementPct,PValueRaw,PairedWinProbability,RankBiserial,PValueHolm,RejectHolm05
DTLZ2,10,"S2_(0.25,0.50]",front_h3,Precision,score_hybrid,score_v,25,25,0.966019047619048,0.974019047619048,-0.00799999999999997,-0.00190476190476208,-0.834026620014314,0.0104266273834513,0.34,-0.566666666666667,0.0781751492200538,0
DTLZ2,10,"S2_(0.25,0.50]",front_h3,Precision,score_hybrid,anchor_margin,25,25,0.966019047619048,0.954514285714286,0.0115047619047619,0.00761904761904741,1.30036435434945,0.118367825430111,0.64,0.369230769230769,0.473471301720446,0
DTLZ2,10,"S2_(0.25,0.50]",front_h3,Precision,score_v,anchor_margin,25,25,0.974019047619048,0.954514285714286,0.0195047619047619,0.00571428571428556,2.16691807611882,0.0239344387153976,0.66,0.526666666666667,0.143606632292385,0
DTLZ2,10,"S2_(0.25,0.50]",front_h3,AUC,score_hybrid,score_v,25,25,0.660316112619724,0.674471845830453,-0.0141557332107295,-0.0181743021509624,-1.3940324394317,0.201221816380435,0.48,-0.292307692307692,0.871051381980881,0
DTLZ2,10,"S2_(0.25,0.50]",front_h3,AUC,score_hybrid,anchor_margin,25,25,0.660316112619724,0.63670181170357,0.0236143009161538,0.0404736944037424,3.8604346553023,0.121827699998635,0.68,0.353846153846154,0.730966199991808,0
DTLZ2,10,"S2_(0.25,0.50]",front_h3,AUC,score_v,anchor_margin,25,25,0.674471845830453,0.63670181170357,0.0377700341268833,0.0467193492787737,6.54984746152157,0.0875271268026895,0.6,0.390769230769231,0.612689887618826,0
DTLZ2,10,"S2_(0.25,0.50]",front_h3,Lift,score_hybrid,score_v,25,25,1.05868499884139,1.06907085559911,-0.0103858567577154,-0.00207039337474102,-0.936792490841432,0.0129291721727266,0.34,-0.58,0.090504205209086,0
DTLZ2,10,"S2_(0.25,0.50]",front_h3,Lift,score_hybrid,anchor_margin,25,25,1.05868499884139,1.0412792711963,0.0174057276450992,0.00809021267797672,1.67309809675361,0.0735649636968265,0.68,0.409230769230769,0.316454161166726,0
DTLZ2,10,"S2_(0.25,0.50]",front_h3,Lift,score_v,anchor_margin,25,25,1.06907085559911,1.0412792711963,0.0277915844028146,0.00708968065679816,2.65379244608918,0.00631325969884045,0.72,0.624615384615385,0.0505060775907236,0
DTLZ2,10,"S2_(0.25,0.50]",population_final,Precision,score_hybrid,score_v,25,25,0.198628571428571,0.190476190476191,0.00815238095238095,0.0152380952380952,4.77331021275909,0.241563921881675,0.52,0.261538461538462,1,0
