run_global,problem,M,run_id,gen,p_err,prev_p_err,coverage,degeneracy,mean_conf,relation_mode,candidate_mode
6,DTLZ1,10,5,22,0.163701067615658,0.02,0.188811188811189,0.3,0.560059554255428,weighted,explore
6,DTLZ1,10,5,23,0.0220640569395018,0.163701067615658,0.192307692307692,0.3,0.609756300710466,weighted,explore
6,DTLZ1,10,5,24,0.0434163701067616,0.0220640569395018,0.195804195804196,0.3,0.520212622624963,conservative,explore
6,DTLZ1,10,5,25,0.506761565836299,0.0434163701067616,0.192307692307692,0.3,0.639617601294727,weighted,conservative
6,DTLZ1,10,5,26,0.0277777777777778,0.506761565836299,0.195804195804196,0.3,0.629670119446754,curriculum,explore
6,DTLZ1,10,5,27,0.493238434163701,0.0277777777777778,0.195804195804196,0.3,0.609780968178603,weighted,conservative
6,DTLZ1,10,5,28,0.03,0.493238434163701,0.195804195804196,0.3,0.589877673861368,curriculum,explore
6,DTLZ1,10,5,29,0.0256227758007117,0.03,0.199300699300699,0.3,0.550052601064045,weighted,explore
6,DTLZ1,10,5,30,0.0135231316725979,0.0256227758007117,0.188811188811189,0.3,0.480375870926031,conservative,explore
6,DTLZ1,10,5,31,0.0377224199288256,0.0135231316725979,0.185314685314685,0.3,0.490342829365757,conservative,explore
6,DTLZ1,10,5,32,0.0156583629893238,0.0377224199288256,0.192307692307692,0.3,0.520135368349686,conservative,explore
6,DTLZ1,10,5,33,0.0626334519572954,0.0156583629893238,0.192307692307692,0.3,0.520138070751442,conservative,explore
6,DTLZ1,10,5,34,0.0199288256227758,0.0626334519572954,0.174825174825175,0.3,0.540192441136327,conservative,explore
6,DTLZ1,10,5,35,0.177224199288256,0.0199288256227758,0.192307692307692,0.2,0.579898983541002,weighted,explore
7,DTLZ1,10,6,1,0.00777777777777778,1,0.164335664335664,0.4,0.420273828170718,curriculum,explore
7,DTLZ1,10,6,2,0.00498220640569395,0.00777777777777778,0.171328671328671,0.3,0.530066494630425,conservative,explore
7,DTLZ1,10,6,3,0.0120996441281139,0.00498220640569395,0.185314685314685,0.3,0.470264472033308,conservative,explore
7,DTLZ1,10,6,4,0.0320284697508897,0.0120996441281139,0.174825174825175,0.3,0.639686407122004,weighted,explore
7,DTLZ1,10,6,5,0.0241992882562278,0.0320284697508897,0.178321678321678,0.3,0.350593666931408,conservative,explore
7,DTLZ1,10,6,6,0.00640569395017794,0.0241992882562278,0.178321678321678,0.3,0.629836106035908,weighted,explore
7,DTLZ1,10,6,7,0.0256227758007117,0.00640569395017794,0.188811188811189,0.3,0.579935442394732,weighted,explore
7,DTLZ1,10,6,8,0.0455516014234875,0.0256227758007117,0.192307692307692,0.3,0.569967537661179,weighted,explore
7,DTLZ1,10,6,9,0.0740213523131673,0.0455516014234875,0.195804195804196,0.3,0.599882986633373,weighted,explore
7,DTLZ1,10,6,10,0.377224199288256,0.0740213523131673,0.202797202797203,0.3,0.609879130938688,weighted,conservative
7,DTLZ1,10,6,11,0.0177777777777778,0.377224199288256,0.195804195804196,0.3,0.540070740278331,curriculum,explore
7,DTLZ1,10,6,12,0.0185053380782918,0.0177777777777778,0.195804195804196,0.3,0.520158228266649,conservative,explore
7,DTLZ1,10,6,13,0.0270462633451957,0.0185053380782918,0.206293706293706,0.3,0.500179904058569,conservative,explore
7,DTLZ1,10,6,14,0.0405693950177936,0.0270462633451957,0.192307692307692,0.3,0.67955036535376,weighted,explore
7,DTLZ1,10,6,15,0.234875444839858,0.0405693950177936,0.181818181818182,0.3,0.639654936282498,weighted,explore
7,DTLZ1,10,6,16,0.184341637010676,0.234875444839858,0.185314685314685,0.3,0.649608946826629,weighted,explore
7,DTLZ1,10,6,17,0.234163701067616,0.184341637010676,0.188811188811189,0.3,0.599886223166383,weighted,explore
7,DTLZ1,10,6,18,0.143060498220641,0.234163701067616,0.192307692307692,0.3,0.569986376792732,weighted,explore
7,DTLZ1,10,6,19,0.00711743772241993,0.143060498220641,0.195804195804196,0.3,0.639754014810003,weighted,explore
7,DTLZ1,10,6,20,0.201423487544484,0.00711743772241993,0.192307692307692,0.3,0.629822641088232,weighted,explore
7,DTLZ1,10,6,21,0.00854092526690392,0.201423487544484,0.185314685314685,0.3,0.42053723469873,conservative,explore
7,DTLZ1,10,6,22,0.0120996441281139,0.00854092526690392,0.192307692307692,0.3,0.40060297015993,conservative,explore
7,DTLZ1,10,6,23,0.0249110320284698,0.0120996441281139,0.199300699300699,0.3,0.440456984848956,conservative,explore
