run_global,problem,M,D,N,maxFE,final_FE,total_gen,skip_gen,eval_gen,rel_conservative_cnt,rel_curriculum_cnt,rel_weighted_cnt,rel_conservative_ratio,rel_curriculum_ratio,rel_weighted_ratio,cand_conservative_cnt,cand_explore_cnt,cand_indicator_cnt,cand_conservative_ratio,cand_explore_ratio,cand_indicator_ratio
123,WFG6,10,30,100,300,300,34,0,34,3,1,30,0.0882352941176471,0.0294117647058824,0.882352941176471,0,34,0,0,1,0
124,WFG6,10,30,100,300,300,34,0,34,11,1,22,0.323529411764706,0.0294117647058824,0.647058823529412,0,34,0,0,1,0
125,WFG6,10,30,100,300,300,34,0,34,8,1,25,0.235294117647059,0.0294117647058824,0.735294117647059,0,34,0,0,1,0
126,WFG6,10,30,100,300,300,34,0,34,11,1,22,0.323529411764706,0.0294117647058824,0.647058823529412,0,34,0,0,1,0
127,WFG6,10,30,100,300,300,34,0,34,3,1,30,0.0882352941176471,0.0294117647058824,0.882352941176471,0,28,6,0,0.823529411764706,0.176470588235294
128,WFG6,10,30,100,300,300,34,0,34,5,1,28,0.147058823529412,0.0294117647058824,0.823529411764706,0,34,0,0,1,0
129,WFG6,10,30,100,300,300,34,0,34,17,1,16,0.5,0.0294117647058824,0.470588235294118,0,34,0,0,1,0
130,WFG6,10,30,100,300,300,34,0,34,22,1,11,0.647058823529412,0.0294117647058824,0.323529411764706,0,34,0,0,1,0
131,WFG6,20,30,100,300,300,34,0,34,7,2,25,0.205882352941176,0.0588235294117647,0.735294117647059,1,0,33,0.0294117647058824,0,0.970588235294118
132,WFG6,20,30,100,300,300,34,0,34,4,1,29,0.117647058823529,0.0294117647058824,0.852941176470588,0,0,34,0,0,1
133,WFG6,20,30,100,300,300,34,0,34,8,3,23,0.235294117647059,0.0882352941176471,0.676470588235294,2,0,32,0.0588235294117647,0,0.941176470588235
134,WFG6,20,30,100,300,300,34,0,34,6,1,27,0.176470588235294,0.0294117647058824,0.794117647058823,0,0,34,0,0,1
135,WFG6,20,30,100,300,300,34,0,34,11,2,21,0.323529411764706,0.0588235294117647,0.617647058823529,1,0,33,0.0294117647058824,0,0.970588235294118
136,WFG6,20,30,100,300,300,34,0,34,20,1,13,0.588235294117647,0.0294117647058824,0.382352941176471,0,0,34,0,0,1
137,WFG6,20,30,100,300,300,34,0,34,15,2,17,0.441176470588235,0.0588235294117647,0.5,1,0,33,0.0294117647058824,0,0.970588235294118
138,WFG6,20,30,100,300,300,34,0,34,10,1,23,0.294117647058824,0.0294117647058824,0.676470588235294,0,0,34,0,0,1
139,WFG6,20,30,100,300,300,34,0,34,4,2,28,0.117647058823529,0.0588235294117647,0.823529411764706,1,0,33,0.0294117647058824,0,0.970588235294118
140,WFG6,20,30,100,300,300,34,0,34,12,1,21,0.352941176470588,0.0294117647058824,0.617647058823529,0,0,34,0,0,1
141,WFG9,10,30,100,300,300,34,0,34,24,1,9,0.705882352941177,0.0294117647058824,0.264705882352941,0,33,1,0,0.970588235294118,0.0294117647058824
142,WFG9,10,30,100,300,300,34,0,34,3,1,30,0.0882352941176471,0.0294117647058824,0.882352941176471,0,34,0,0,1,0
143,WFG9,10,30,100,300,300,34,0,34,13,1,20,0.382352941176471,0.0294117647058824,0.588235294117647,0,22,12,0,0.647058823529412,0.352941176470588
144,WFG9,10,30,100,300,300,34,0,34,11,1,22,0.323529411764706,0.0294117647058824,0.647058823529412,0,30,4,0,0.882352941176471,0.117647058823529
145,WFG9,10,30,100,300,300,34,0,34,7,1,26,0.205882352941176,0.0294117647058824,0.764705882352941,0,34,0,0,1,0
146,WFG9,10,30,100,300,300,34,0,34,1,1,32,0.0294117647058824,0.0294117647058824,0.941176470588235,0,34,0,0,1,0
147,WFG9,10,30,100,300,300,34,0,34,8,1,25,0.235294117647059,0.0294117647058824,0.735294117647059,0,27,7,0,0.794117647058823,0.205882352941176
148,WFG9,10,30,100,300,300,34,0,34,6,2,26,0.176470588235294,0.0588235294117647,0.764705882352941,1,27,6,0.0294117647058824,0.794117647058823,0.176470588235294
149,WFG9,10,30,100,300,300,34,0,34,3,1,30,0.0882352941176471,0.0294117647058824,0.882352941176471,0,34,0,0,1,0
150,WFG9,10,30,100,300,300,34,0,34,4,2,28,0.117647058823529,0.0588235294117647,0.823529411764706,1,30,3,0.0294117647058824,0.882352941176471,0.0882352941176471
151,WFG9,20,30,100,300,300,34,0,34,4,3,27,0.117647058823529,0.0882352941176471,0.794117647058823,2,0,32,0.0588235294117647,0,0.941176470588235
152,WFG9,20,30,100,300,300,34,0,34,7,1,26,0.205882352941176,0.0294117647058824,0.764705882352941,0,0,34,0,0,1
153,WFG9,20,30,100,300,300,34,0,34,0,2,32,0,0.0588235294117647,0.941176470588235,1,0,33,0.0294117647058824,0,0.970588235294118
154,WFG9,20,30,100,300,300,34,0,34,6,2,26,0.176470588235294,0.0588235294117647,0.764705882352941,1,0,33,0.0294117647058824,0,0.970588235294118
155,WFG9,20,30,100,300,300,34,0,34,6,3,25,0.176470588235294,0.0882352941176471,0.735294117647059,2,0,32,0.0588235294117647,0,0.941176470588235
156,WFG9,20,30,100,300,300,34,0,34,2,1,31,0.0588235294117647,0.0294117647058824,0.911764705882353,1,0,33,0.0294117647058824,0,0.970588235294118
157,WFG9,20,30,100,300,300,34,0,34,1,1,32,0.0294117647058824,0.0294117647058824,0.941176470588235,0,0,34,0,0,1
158,WFG9,20,30,100,300,300,34,0,34,2,2,30,0.0588235294117647,0.0588235294117647,0.882352941176471,1,0,33,0.0294117647058824,0,0.970588235294118
159,WFG9,20,30,100,300,300,34,0,34,10,3,21,0.294117647058824,0.0882352941176471,0.617647058823529,2,0,32,0.0588235294117647,0,0.941176470588235
160,WFG9,20,30,100,300,300,34,0,34,2,3,29,0.0588235294117647,0.0882352941176471,0.852941176470588,2,0,32,0.0588235294117647,0,0.941176470588235
