[Gen   8 | FE= 164/ 300] p_err=0.183 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.210 | 指标=I_eps+ | score=1(中  ) | Pw=[SDE=0.341 I+=0.329 MD=0.329] | Lp=1.60 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.174 | 指标=MD     | score=2(极优) | Pw=[SDE=0.337 I+=0.337 MD=0.327] | Lp=1.60 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.199 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.00 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.159 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.204 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.167 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.272 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.165 | 指标=SDE    | score=1(中  ) | Pw=[SDE=0.325 I+=0.338 MD=0.338] | Lp=2.40 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.172 | 指标=MD     | score=2(极优) | Pw=[SDE=0.337 I+=0.337 MD=0.327] | Lp=1.60 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.204 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.342 I+=0.329 MD=0.329] | Lp=1.60 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.215 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.00 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.210 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.148 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.176 | 指标=I_eps+ | score=0(差  ) | Pw=[SDE=0.341 I+=0.317 MD=0.341] | Lp=1.15 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.188 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.241 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.324 I+=0.338 MD=0.338] | Lp=1.60 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.293 | 指标=MD     | score=2(极优) | Pw=[SDE=0.337 I+=0.337 MD=0.327] | Lp=1.60 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.243 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.342 I+=0.329 MD=0.328] | Lp=1.60 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.327 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.214 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.179 | 指标=I_eps+ | score=1(中  ) | Pw=[SDE=0.337 I+=0.326 MD=0.337] | Lp=1.60 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.190 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.342 I+=0.316 MD=0.342] | Lp=1.15 | n_eval=8
