problem,M,run,stage,ratio,variant,mean_conf,gate_weighted,delta_mean_conf,spearman_vs_base,jaccard_vs_base
DTLZ2,20,1,1,0.333333333333333,x10,0.507206847878327,0,-0.0315374038720231,1,1
DTLZ2,20,1,1,0.333333333333333,x100,0.500778135688114,0,-0.0379661160622359,1,1
DTLZ2,20,1,1,0.333333333333333,wfg_style,0.501886193685467,0,-0.036858058064883,0.90994299429943,0.724137931034483
DTLZ2,20,1,1,0.333333333333333,de_wfg,0.523266309475461,0,-0.0154779422748894,-0.485616561656166,0.851851851851852
DTLZ2,20,1,1,0.333333333333333,minmax,0.539273721103947,0,0.000529469353596657,0.478427842784279,0.5625
DTLZ2,20,1,2,0.5,base,0.458160230266245,0,0,1,1
DTLZ2,20,1,2,0.5,x0.1,0.621262559483451,1,0.163102329217206,-0.326732673267327,1
DTLZ2,20,1,2,0.5,x10,0.349544498707846,0,-0.108615731558399,1,1
DTLZ2,20,1,2,0.5,x100,0.332063751462945,0,-0.1260964788033,1,1
DTLZ2,20,1,2,0.5,wfg_style,0.335657773405727,0,-0.122502456860518,0.881380138013802,0.785714285714286
DTLZ2,20,1,2,0.5,de_wfg,0.654887695680656,1,0.196727465414411,-0.315091509150915,0.666666666666667
DTLZ2,20,1,2,0.5,minmax,0.498832814541467,0,0.0406725842752216,0.299189918991899,0.388888888888889
DTLZ2,20,1,3,0.666666666666667,base,0.455600936888088,0,0,1,1
DTLZ2,20,1,3,0.666666666666667,x0.1,0.645782208786346,1,0.190181271898257,-0.26012601260126,1
DTLZ2,20,1,3,0.666666666666667,x10,0.323939396701672,0,-0.131661540186416,1,1
DTLZ2,20,1,3,0.666666666666667,x100,0.302530325856186,0,-0.153070611031902,1,1
DTLZ2,20,1,3,0.666666666666667,wfg_style,0.365330823164723,0,-0.0902701137233649,0.784662466246625,0.666666666666667
DTLZ2,20,1,3,0.666666666666667,de_wfg,0.328275952867379,0,-0.127324984020709,-0.323252325232523,0.219512195121951
DTLZ2,20,1,3,0.666666666666667,minmax,0.496331134095745,0,0.0407301972076572,0.0883048304830483,0.515151515151515
DTLZ2,20,1,4,0.833333333333333,base,0.528990379663948,0,0,1,1
DTLZ2,20,1,4,0.833333333333333,x0.1,0.397193489112366,0,-0.131796890551581,-0.382538253825383,1
DTLZ2,20,1,4,0.833333333333333,x10,0.622668243196928,1,0.09367786353298,1,1
DTLZ2,20,1,4,0.833333333333333,x100,0.638163220005833,1,0.109172840341886,1,1
DTLZ2,20,1,4,0.833333333333333,wfg_style,0.654283119794375,1,0.125292740130428,0.653213321332133,0.515151515151515
DTLZ2,20,1,4,0.833333333333333,de_wfg,0.372120774114489,0,-0.156869605549459,-0.286672667266727,0.612903225806452
DTLZ2,20,1,4,0.833333333333333,minmax,0.499904490795125,0,-0.0290858888688231,-0.0778157815781578,0.428571428571429
DTLZ2,20,1,5,1,base,0.510214741039304,0,0,1,1
DTLZ2,20,1,5,1,x0.1,0.413686465782569,0,-0.0965282752567343,-0.427542754275428,1
DTLZ2,20,1,5,1,x10,0.593119317462899,1,0.0829045764235952,1,1
DTLZ2,20,1,5,1,x100,0.608186326378182,1,0.0979715853388783,1,1
DTLZ2,20,1,5,1,wfg_style,0.633777278352015,1,0.123562537312711,0.555883588358836,0.666666666666667
DTLZ2,20,1,5,1,de_wfg,0.359449316251236,0,-0.150765424788067,-0.455757575757576,0.785714285714286
DTLZ2,20,1,5,1,minmax,0.495555528734396,0,-0.014659212304908,0.291173117311731,0.515151515151515
DTLZ4,10,1,1,0.333333333333333,base,0.515046950612491,0,0,1,1
DTLZ4,10,1,1,0.333333333333333,x0.1,0.453076139333378,0,-0.0619708112791128,-0.478547854785479,1
DTLZ4,10,1,1,0.333333333333333,x10,0.553693884031099,1,0.0386469334186074,1,1
DTLZ4,10,1,1,0.333333333333333,x100,0.559344099225368,1,0.0442971486128763,1,1
DTLZ4,10,1,1,0.333333333333333,wfg_style,0.526585352781845,0,0.0115384021693536,0.975361536153615,0.612903225806452
DTLZ4,10,1,1,0.333333333333333,de_wfg,0.524673687602678,0,0.00962673699018668,0.56960096009601,0.351351351351351
DTLZ4,10,1,1,0.333333333333333,minmax,0.501210472642226,0,-0.013836477970265,-0.450945094509451,0.470588235294118
DTLZ4,10,1,2,0.5,base,0.428321687511794,0,0,1,1
DTLZ4,10,1,2,0.5,x0.1,0.583668365167629,1,0.155346677655835,-0.365136513651365,1
DTLZ4,10,1,2,0.5,x10,0.360258254013601,0,-0.0680634334981935,1,1
DTLZ4,10,1,2,0.5,x100,0.351058753162338,0,-0.077262934349456,1,1
